Self-harm | C0424366
Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm | C2878327
Poisoning by other antidepressants, intentional self-harm, subsequent encounter | C2878432
Poisoning by unspecified psychotropic drug, intentional self-harm, sequela | C2878714
Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm | C2878842
Poisoning by stimulant laxatives, intentional self-harm, subsequent encounter | C2879722
Poisoning by appetite depressants, intentional self-harm, subsequent encounter | C2883660
Poisoning by diagnostic agents, intentional self-harm, initial encounter | C2883734
Asphyxiation due to hanging, intentional self-harm, initial encounter | C2886412
Intentional self-harm by other specified means, subsequent encounter | C2905818
Poisoning by chloramphenicol group, intentional self-harm, initial encounter | C2876594
Poisoning by oral contraceptives, intentional self-harm, initial encounter | C2877097
Poisoning by other systemic antibiotics, intentional self-harm, sequela | C2876745
Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter | C2876818
Poisoning by antiviral drugs, intentional self-harm, initial encounter | C2876918
Poisoning by other hormone antagonists, intentional self-harm, sequela | C2877307
Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter | C2877407
Poisoning by 4-Aminophenol derivatives, intentional self-harm, sequela | C2877384
Poisoning by intravenous anesthetics, intentional self-harm, initial encounter | C2877893
Poisoning by local anesthetics, intentional self-harm, initial encounter | C2877971
Poisoning by unspecified anesthetic, intentional self-harm, initial encounter | C2877995
Poisoning by lysergide [LSD], intentional self-harm, initial encounter | C2877789
Poisoning by intravenous anesthetics, intentional self-harm, subsequent encounter | C2877894
Poisoning by therapeutic gases, intentional self-harm, initial encounter | C2878020
Poisoning by therapeutic gases, intentional self-harm, subsequent encounter | C2878021
Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter | C2878279
Poisoning by tricyclic antidepressants, intentional self-harm, subsequent encounter | C2878280
Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter | C2878303
Poisoning by other antidepressants, intentional self-harm, initial encounter | C2878431
Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter | C2878561
Poisoning by unspecified psychostimulants, intentional self-harm, subsequent encounter | C2878562
Poisoning by other psychotropic drugs, intentional self-harm, sequela | C2878688
Poisoning by anticholinesterase agents, intentional self-harm, initial encounter | C2878738
Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, sequela | C2878765
Poisoning by antithrombotic drugs, intentional self-harm, initial encounter | C2879179
Poisoning by thrombolytic drug, intentional self-harm, initial encounter | C2879231
Poisoning by calcium-channel blockers, intentional self-harm, sequela | C2879415
Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm | C2879490
Poisoning by peripheral vasodilators, intentional self-harm, initial encounter | C2879568
Poisoning by coronary vasodilators, intentional self-harm, initial encounter | C2879466
Poisoning by coronary vasodilators, intentional self-harm, subsequent encounter | C2879467
Poisoning by peripheral vasodilators, intentional self-harm, subsequent encounter | C2879569
Poisoning by histamine H2-receptor blockers, intentional self-harm | C2879670
Poisoning by chloramphenicol group, intentional self-harm, subsequent encounter | C2876595
Poisoning by diagnostic agents, intentional self-harm, subsequent encounter | C2883735
Poisoning by other viral vaccines, intentional self-harm, sequela | C2883914
Poisoning by other bacterial vaccines, intentional self-harm, sequela | C2883863
Poisoning by smallpox vaccines, intentional self-harm, initial encounter | C2883887
Poisoning by smallpox vaccines, intentional self-harm, subsequent encounter | C2883888
Poisoning by other antiprotozoal drugs, intentional self-harm, sequela | C2876870
Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm | C2877225
Poisoning by propionic acid derivatives, intentional self-harm, sequela | C2877441
Poisoning by other opioids, intentional self-harm, initial encounter | C2877613
Poisoning by other opioids, intentional self-harm, subsequent encounter | C2877614
Poisoning by unspecified narcotics, intentional self-harm, initial encounter | C2877713
Poisoning by unspecified narcotics, intentional self-harm, subsequent encounter | C2877714
Poisoning by other narcotics, intentional self-harm, subsequent encounter | C2877740
Poisoning by inhaled anesthetics, intentional self-harm, subsequent encounter | C2877868
Poisoning by local anesthetics, intentional self-harm, subsequent encounter | C2877972
Poisoning by hydantoin derivatives, intentional self-harm, subsequent encounter | C2878047
Poisoning by unspecified antidepressants, intentional self-harm, initial encounter | C2878354
Poisoning by selective serotonin reuptake inhibitors, intentional self-harm | C2878405
Poisoning by other psychostimulants, intentional self-harm, initial encounter | C2878660
Asphyxiation due to hanging, intentional self-harm, subsequent encounter | C2886413
Poisoning by antithrombotic drugs, intentional self-harm, subsequent encounter | C2879180
Poisoning by hemostatic drug, intentional self-harm, initial encounter | C2879257
Poisoning by hemostatic drug, intentional self-harm, subsequent encounter | C2879258
Poisoning by other antidysrhythmic drugs, intentional self-harm, sequela | C2879442
Poisoning by other antihypertensive drugs, intentional self-harm, sequela | C2879519
Poisoning by other laxatives, intentional self-harm, initial encounter | C2879772
Poisoning by other laxatives, intentional self-harm, subsequent encounter | C2879773
Poisoning by oxytocic drugs, intentional self-harm, subsequent encounter | C2879922
Poisoning by appetite depressants, intentional self-harm, initial encounter | C2883659
Toxic effect of lacrimogenic gas, intentional self-harm, sequela | C2884883
Intentional self-harm by hunting rifle discharge, subsequent encounter | C2905680
Intentional self-harm by steam or hot vapors, sequela | C2905728
Intentional self-harm by hunting rifle discharge, initial encounter | C2905679
Intentional self-harm by other specified means, initial encounter | C2905817
Poisoning by synthetic cannabinoids, intentional self-harm, initial encounter | C5539252
Poisoning by synthetic cannabinoids, intentional self-harm, subsequent encounter | C5539253
Poisoning by unspecified systemic antibiotic, intentional self-harm, sequela | C2876770
Poisoning by antimycobacterial drugs, intentional self-harm, subsequent encounter | C2876819
Poisoning by antithyroid drugs, intentional self-harm, initial encounter | C2877046
Poisoning by antithyroid drugs, intentional self-harm, subsequent encounter | C2877047
Poisoning by oral contraceptives, intentional self-harm, subsequent encounter | C2877098
Poisoning by unspecified hormone antagonists, intentional self-harm, sequela | C2877281
Poisoning by pyrazolone derivatives, intentional self-harm, subsequent encounter | C2877408
Poisoning by other narcotics, intentional self-harm, initial encounter | C2877739
Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, sequela | C2877817
Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, sequela | C2877843
Poisoning by unspecified general anesthetics, intentional self-harm, sequela | C2877922
Poisoning by unspecified anesthetic, intentional self-harm, subsequent encounter | C2877996
Poisoning by hydantoin derivatives, intentional self-harm, initial encounter | C2878046
Poisoning by tetracyclic antidepressants, intentional self-harm, subsequent encounter | C2878304
Poisoning by unspecified antidepressants, intentional self-harm, subsequent encounter | C2878355
Poisoning by other psychostimulants, intentional self-harm, subsequent encounter | C2878661
Poisoning by anticholinesterase agents, intentional self-harm, subsequent encounter | C2878739
Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm | C2878868
Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, sequela | C2878897
Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, sequela | C2878923
Poisoning by thrombolytic drug, intentional self-harm, subsequent encounter | C2879232
Poisoning by stimulant laxatives, intentional self-harm, initial encounter | C2879721
Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter | C2879821
Poisoning by antidiarrheal drugs, intentional self-harm, subsequent encounter | C2879822
Poisoning by oxytocic drugs, intentional self-harm, initial encounter | C2879921
Poisoning by other topical agents, intentional self-harm, sequela | C2883484
Poisoning by unspecified topical agent, intentional self-harm, sequela | C2883509
Poisoning by loop [high-ceiling] diuretics, intentional self-harm | C2883557
Toxic effect of chlorine gas, intentional self-harm, sequela | C2884899
Toxic effect of chewing tobacco, intentional self-harm, sequela | C2886017
Toxic effect of venom of tarantula, intentional self-harm | C2885557
Toxic effect of venom of hornets, intentional self-harm | C2885676
Intentional self-harm by crashing of aircraft, subsequent encounter | C2905807
Toxic effect of homologues of benzene, intentional self-harm | C2884119
Toxic effect of venom of scorpion, intentional self-harm | C2885506
Toxic effect of venom of wasps, intentional self-harm | C2885694
Toxic effect of herbicides and fungicides, intentional self-harm | C2885058
Asphyxiation due to smothering in furniture, intentional self-harm | C2886393
Intentional self-harm by gun for single hand use | C2905669
Other intentional self-harm by crashing of motor vehicle | C2905801
Intentional self-harm by crashing of aircraft, initial encounter | C2905806
Toxic effect of venom of caterpillars, intentional self-harm | C2885642
Toxic effect of venom of bees, intentional self-harm | C2885659
Toxic effect of contact with stingray, intentional self-harm | C2885728
Intentional self-harm by smoke, fire and flames, sequela | C2905724
Toxic effect of benzene, intentional self-harm, subsequent encounter | C2884103
Toxic effect of glycols, intentional self-harm, subsequent encounter | C2884137
